age,sex,height,weight,activity_level,total_steps,calories_burned,daily_calories_needed,fitness_score,prediction
36,Female,170,52,Moderate,7592,380,1924,23,No
30,Male,184,56,Light,4955,248,2152,73,Yes
24,Female,177,51,Sedentary,1150,58,1602,83,Yes
53,Male,159,67,Sedentary,1674,84,1684,78,Yes
23,Female,163,79,Sedentary,2900,145,1839,91,Yes
33,Female,183,82,Active,11078,554,2825,80,Yes
59,Male,184,83,Active,9650,482,2915,43,No
60,Male,187,52,Sedentary,1271,64,1672,62,No
42,Male,162,61,Moderate,8279,414,2197,49,No
28,Female,188,75,Active,11030,552,2801,52,No
36,Male,189,83,Moderate,8792,440,2846,60,No
56,Male,187,54,Sedentary,1617,81,1720,95,Yes
23,Female,174,97,Light,4577,229,2450,5,No
41,Male,176,52,Moderate,6205,310,2201,45,No
65,Male,154,70,Sedentary,1281,64,1611,19,No
21,Female,163,71,Light,4155,208,2011,64,No
22,Male,150,61,Active,9748,487,2488,9,No
56,Male,187,53,Very Active,13170,658,2705,70,Yes
65,Female,185,56,Very Active,13281,664,2337,75,Yes
46,Female,189,74,Moderate,8881,444,2372,78,Yes
64,Male,163,93,Light,5431,272,2246,35,No
18,Male,172,51,Sedentary,2748,137,1800,2,No
31,Male,159,77,Sedentary,1923,96,1936,24,No
49,Male,152,65,Light,3916,196,1870,58,No
58,Male,162,55,Light,4855,243,1757,42,No
24,Male,181,73,Light,5303,265,2401,51,No
19,Male,171,58,Sedentary,2761,138,1870,87,Yes
40,Female,176,62,Light,5889,294,1869,88,Yes
35,Male,172,87,Light,4065,203,2441,30,No
44,Female,179,94,Very Active,14773,739,3188,1,No
43,Male,184,76,Moderate,8931,447,2635,49,No
32,Female,160,89,Sedentary,1371,69,1883,99,Yes
20,Male,176,89,Active,10735,537,3269,26,No
65,Male,167,51,Sedentary,1145,57,1480,70,Yes
18,Male,150,95,Very Active,14394,720,3425,94,Yes
50,Female,164,65,Moderate,6098,305,1959,85,Yes
21,Female,176,78,Light,4174,209,2219,45,No
18,Female,177,67,Sedentary,1914,96,1830,97,Yes
62,Female,189,91,Active,11630,582,2795,93,Yes
65,Female,155,86,Moderate,8952,448,2081,97,Yes
36,Male,183,65,Very Active,14174,709,3076,34,No
30,Male,163,65,Moderate,7041,352,2362,65,No
30,Male,190,91,Light,3797,190,2685,38,No
39,Female,167,80,Sedentary,2858,143,1785,76,Yes
21,Female,174,80,Moderate,8637,432,2513,28,No
59,Female,163,98,Sedentary,1347,67,1851,85,Yes
63,Male,168,59,Very Active,13256,663,2527,26,No
21,Female,177,51,Sedentary,2989,149,1620,73,Yes
50,Male,177,76,Sedentary,2495,125,1946,43,No
33,Male,155,93,Sedentary,2550,128,2086,66,No
36,Male,175,51,Light,5563,278,1965,36,No
46,Male,163,56,Sedentary,1927,96,1624,33,No
22,Female,186,86,Very Active,12456,623,3328,11,No
23,Female,182,53,Light,4749,237,1913,22,No
53,Male,169,100,Sedentary,3000,150,2156,56,No
38,Male,176,60,Active,10770,538,2613,99,Yes
24,Female,172,62,Sedentary,1874,94,1697,33,No
47,Female,161,84,Very Active,13055,653,2755,88,Yes
22,Male,179,57,Active,10786,539,2732,38,No
39,Male,163,67,Very Active,12004,600,2848,52,No
45,Female,186,77,Light,5837,292,2126,32,No
60,Female,154,55,Active,10027,501,1814,81,Yes
34,Female,156,70,Very Active,13846,692,2554,68,No
31,Female,179,73,Very Active,13040,652,2912,87,Yes
38,Female,180,67,Light,5504,275,1986,61,No
59,Male,158,81,Very Active,14633,732,2864,77,Yes
28,Female,184,94,Light,3204,160,2460,57,No
25,Female,172,72,Very Active,12063,603,2867,42,No
51,Female,185,73,Sedentary,2477,124,1764,10,No
59,Male,181,66,Active,9036,452,2590,23,No
64,Male,166,94,Very Active,12205,610,3159,10,No
40,Female,170,63,Sedentary,1924,96,1598,6,No
50,Male,172,92,Light,4241,212,2406,43,No
23,Male,170,85,Sedentary,1048,52,2163,56,No
27,Female,165,87,Very Active,13785,689,3050,39,No
25,Female,178,78,Very Active,12125,606,3052,59,No
29,Female,174,54,Very Active,13603,680,2511,23,No
40,Female,174,92,Very Active,13952,698,3128,90,Yes
39,Female,160,96,Moderate,8985,449,2486,30,No
58,Female,182,70,Light,3931,197,1906,76,Yes
53,Male,178,99,Light,5889,294,2533,77,Yes
59,Female,176,64,Moderate,8894,445,1990,80,Yes
28,Male,173,52,Moderate,7430,372,2273,67,No
64,Female,177,92,Sedentary,1864,93,1854,5,No
40,Female,177,91,Sedentary,2106,105,1986,4,No
19,Male,160,85,Active,9097,455,3036,70,Yes
65,Female,162,73,Very Active,13444,672,2387,10,No
33,Female,181,94,Very Active,14744,737,3316,50,No
37,Female,172,90,Light,4870,244,2240,79,Yes
21,Male,175,89,Sedentary,2784,139,2260,49,No
55,Male,166,84,Moderate,6260,313,2492,10,No
29,Female,171,62,Active,9744,487,2385,57,No
36,Male,150,83,Active,10941,547,2747,9,No
57,Female,188,65,Moderate,8117,406,2137,42,No
46,Male,164,99,Active,10899,545,3088,3,No
48,Male,182,83,Very Active,12248,612,3292,48,No
38,Female,169,84,Sedentary,1113,56,1854,28,No
64,Female,189,59,Sedentary,1401,70,1548,65,No
59,Male,170,100,Very Active,14829,741,3368,43,No
24,Female,184,73,Sedentary,2906,145,1919,54,No
34,Male,184,85,Sedentary,2425,121,2202,30,No
65,Female,164,76,Active,9907,495,2241,53,No
20,Male,170,82,Sedentary,1959,98,2145,68,No
21,Female,154,87,Moderate,6582,329,2428,5,No
42,Female,153,59,Sedentary,2866,143,1410,2,No
32,Male,158,84,Active,10715,536,2885,23,No
41,Male,174,84,Active,10772,539,2980,95,Yes
20,Male,154,88,Moderate,6971,349,2709,45,No
37,Female,182,86,Light,5434,272,2271,27,No
62,Female,165,64,Active,10259,513,2070,49,No
46,Male,179,82,Light,5385,269,2356,23,No
64,Male,170,59,Active,9160,458,2307,87,Yes
64,Male,169,69,Moderate,8285,414,2218,25,No
49,Male,169,94,Moderate,8357,418,2722,32,No
54,Male,163,77,Very Active,12271,614,2895,49,No
59,Female,157,81,Very Active,13476,674,2537,90,Yes
56,Male,180,83,Active,10814,541,2898,35,No
38,Female,180,55,Moderate,8354,418,2052,32,No
57,Female,171,100,Sedentary,2060,103,1947,27,No
27,Male,168,50,Moderate,8285,414,2201,51,No
30,Female,161,59,Active,11186,559,2217,5,No
35,Male,182,79,Sedentary,1240,62,2109,39,No
37,Female,152,72,Active,11746,587,2284,16,No
64,Male,184,58,Sedentary,2613,131,1698,21,No
54,Male,184,54,Sedentary,1232,62,1710,98,Yes
23,Female,174,54,Active,10537,527,2331,12,No
52,Male,170,98,Very Active,12388,619,3396,90,Yes
52,Male,178,100,Very Active,13450,672,3529,1,No
40,Male,174,94,Light,4472,224,2520,67,No
59,Male,150,100,Sedentary,1681,84,1977,13,No
55,Female,155,72,Sedentary,1585,79,1503,52,No
41,Male,156,91,Moderate,8151,408,2612,31,No
24,Male,181,51,Very Active,14298,715,2900,100,Yes
65,Male,190,67,Active,10884,544,2652,17,No
26,Female,167,86,Very Active,12619,631,3064,54,No
34,Female,165,90,Active,10302,515,2760,23,No
52,Male,164,69,Very Active,14041,702,2774,73,Yes
30,Male,181,96,Very Active,13337,667,3698,86,Yes
37,Male,170,53,Moderate,7709,385,2189,16,No
23,Male,170,54,Moderate,8307,415,2313,69,No
44,Female,166,63,Light,3660,183,1769,14,No
63,Female,157,70,Sedentary,2761,138,1446,56,No
44,Female,173,61,Very Active,12805,640,2489,20,No
45,Female,189,68,Very Active,14933,747,2803,96,Yes
56,Male,190,89,Light,4567,228,2478,16,No
65,Female,177,85,Very Active,12573,629,2793,51,No
19,Male,166,88,Active,10809,540,3152,52,No
33,Male,151,65,Active,9379,469,2473,29,No
45,Female,180,67,Moderate,6408,320,2184,12,No
22,Male,156,79,Active,9640,482,2864,33,No
22,Female,163,64,Light,5313,266,1908,67,No
40,Male,167,51,Active,11743,587,2344,71,Yes
64,Male,188,95,Moderate,7569,378,2806,28,No
22,Female,154,64,Sedentary,1428,71,1598,52,No
43,Female,156,76,Moderate,7825,391,2106,49,No
65,Female,171,54,Moderate,6272,314,1740,73,Yes
24,Female,174,76,Active,9070,454,2702,77,Yes
43,Male,159,73,Sedentary,2315,116,1816,47,No
51,Male,167,63,Active,10676,534,2456,1,No
44,Male,166,82,Sedentary,1789,89,1971,31,No
21,Female,185,89,Light,4572,229,2448,3,No
56,Male,188,84,Sedentary,1108,55,2088,67,No
37,Male,151,82,Sedentary,2161,108,1900,33,No
38,Male,150,85,Very Active,12906,645,3045,14,No
47,Male,151,92,Active,11878,594,2818,55,No
41,Male,186,50,Active,9786,489,2523,47,No
27,Male,174,82,Light,5243,262,2444,31,No
33,Male,167,76,Moderate,8641,432,2548,57,No
60,Male,169,86,Moderate,7356,368,2513,62,No
60,Female,168,65,Moderate,6484,324,1920,17,No
40,Female,156,51,Sedentary,1387,69,1349,40,No
46,Male,162,73,Sedentary,1259,63,1821,16,No
48,Female,154,77,Light,3308,165,1831,55,No
29,Male,189,95,Sedentary,1665,83,2390,93,Yes
32,Female,178,56,Moderate,7858,393,2095,17,No
27,Female,156,94,Light,5523,276,2226,81,Yes
47,Male,180,98,Active,10759,538,3234,77,Yes
55,Female,165,56,Light,3739,187,1588,55,No
39,Female,160,55,Sedentary,2781,139,1433,27,No
36,Female,155,66,Moderate,6614,331,1996,20,No
45,Male,167,61,Very Active,14628,731,2724,13,No
46,Female,181,89,Moderate,7911,396,2527,5,No
22,Female,151,65,Light,3950,198,1819,2,No
20,Female,163,68,Active,10803,540,2480,65,No
42,Female,189,53,Moderate,7598,380,2077,40,No
57,Male,150,68,Moderate,7982,399,2073,86,Yes
42,Female,173,88,Very Active,14102,705,3021,32,No
31,Female,178,100,Moderate,6536,327,2785,74,Yes
45,Male,168,51,Active,11413,571,2312,44,No
19,Female,175,90,Active,11718,586,2998,83,Yes
20,Female,189,93,Moderate,6008,300,2868,37,No
56,Female,172,74,Light,3594,180,1889,44,No
51,Female,167,71,Light,5116,256,1839,35,No
19,Male,153,81,Sedentary,1944,97,2012,95,Yes
37,Female,168,51,Light,5985,299,1669,85,Yes
49,Male,161,79,Very Active,12821,641,2957,85,Yes
52,Male,187,91,Very Active,14355,718,3465,53,No
63,Female,160,61,Sedentary,2904,145,1361,44,No
30,Female,154,72,Sedentary,1650,82,1646,90,Yes
25,Male,185,61,Light,3233,162,2264,75,Yes
57,Male,151,100,Light,4367,218,2288,20,No
41,Male,185,51,Sedentary,2011,101,1760,70,Yes
19,Female,190,68,Moderate,6707,335,2498,25,No
57,Female,180,60,Sedentary,2003,100,1535,89,Yes
48,Male,174,57,Active,10739,537,2454,76,Yes
51,Female,175,71,Very Active,14385,719,2637,86,Yes
22,Male,174,80,Light,3398,170,2451,62,No
25,Male,187,64,Light,3653,183,2322,17,No
48,Female,157,62,Active,11302,565,2070,93,Yes
34,Male,170,77,Light,4456,223,2293,14,No
21,Female,167,75,Light,3291,165,2101,90,Yes
57,Male,181,88,Very Active,13771,689,3289,46,No
20,Male,188,52,Very Active,14636,732,3040,51,No
62,Female,171,66,Moderate,7608,380,1950,77,Yes
36,Male,186,74,Sedentary,2771,139,2073,86,Yes
58,Female,178,93,Light,4673,234,2188,7,No
42,Female,174,95,Moderate,6169,308,2583,68,No
44,Male,181,98,Light,4910,246,2607,21,No
46,Male,156,77,Very Active,12902,645,2888,67,No
23,Male,160,57,Moderate,8790,440,2263,49,No
51,Female,180,100,Light,4494,225,2350,19,No
62,Male,164,80,Moderate,6382,319,2356,51,No
27,Male,185,86,Sedentary,1244,62,2264,80,Yes
39,Female,156,66,Sedentary,2160,108,1535,30,No
44,Male,173,86,Moderate,7668,383,2676,27,No
61,Male,172,62,Sedentary,2540,127,1674,61,No
41,Male,160,77,Moderate,6098,305,2434,86,Yes
54,Male,166,90,Active,10568,528,2885,99,Yes
37,Male,170,94,Active,10974,549,3144,62,No
56,Female,166,73,Active,11191,560,2288,26,No
39,Female,180,99,Light,5029,251,2419,21,No
46,Female,190,85,Very Active,13535,677,3128,85,Yes
52,Male,174,61,Moderate,7319,366,2236,35,No
31,Male,176,80,Active,11976,599,3019,67,No
57,Male,166,87,Active,9277,464,2807,14,No
43,Male,164,99,Very Active,14600,730,3430,10,No
59,Male,158,92,Sedentary,1920,96,1941,6,No
34,Female,158,80,Very Active,14472,724,2767,80,Yes
22,Female,172,94,Very Active,12818,641,3314,27,No
62,Male,174,95,Very Active,14219,711,3292,84,Yes
24,Male,169,96,Light,3145,157,2614,40,No
37,Male,173,83,Moderate,7477,374,2683,33,No
33,Female,173,76,Active,10188,509,2614,45,No
59,Female,172,91,Very Active,12247,612,2905,85,Yes
47,Female,176,95,Light,3137,157,2274,7,No
35,Female,170,82,Very Active,12635,632,2938,14,No
59,Male,151,67,Light,4437,222,1820,65,No
20,Female,166,92,Light,5073,254,2333,47,No
59,Male,174,74,Active,10464,523,2652,25,No
20,Male,158,73,Sedentary,2415,121,1947,79,Yes
25,Female,183,76,Very Active,14592,730,3074,2,No
63,Male,158,95,Moderate,7775,389,2523,72,Yes
28,Female,178,60,Moderate,8835,442,2188,47,No
46,Female,159,57,Light,3107,155,1613,42,No
59,Male,177,84,Moderate,6327,316,2567,98,Yes
34,Male,171,95,Active,10452,523,3198,57,No
33,Female,161,82,Sedentary,2669,133,1800,95,Yes
36,Female,173,70,Sedentary,2136,107,1728,42,No
43,Female,164,92,Active,10648,532,2707,36,No
27,Female,176,62,Very Active,14887,744,2706,6,No
39,Female,179,50,Light,4432,222,1736,27,No
42,Female,182,72,Active,10457,523,2564,1,No
50,Female,163,87,Very Active,12408,620,2808,45,No
20,Male,154,89,Very Active,14056,703,3339,63,No
54,Male,160,70,Light,3118,156,1973,62,No
56,Male,159,93,Very Active,14280,714,3133,46,No
27,Male,167,85,Sedentary,2769,138,2116,43,No
62,Male,189,53,Moderate,8075,404,2180,27,No
37,Male,183,54,Light,4449,222,2068,32,No
20,Male,153,88,Very Active,12891,645,3308,48,No
49,Female,156,79,Sedentary,1633,82,1631,81,Yes
49,Male,161,83,Light,5207,260,2195,31,No
57,Female,173,92,Light,4118,206,2138,63,No
38,Female,165,79,Moderate,8836,442,2279,8,No
64,Female,184,65,Very Active,14747,737,2506,46,No
35,Female,186,79,Moderate,7441,372,2506,67,No
55,Male,161,98,Very Active,13907,695,3261,51,No
58,Female,154,94,Moderate,6411,321,2250,15,No
58,Male,183,89,Sedentary,2382,119,2098,86,Yes
42,Male,167,53,Light,5818,291,1882,92,Yes
54,Male,171,67,Moderate,7501,375,2284,74,Yes
64,Female,187,60,Light,5925,296,1771,93,Yes
62,Male,153,51,Active,10112,506,2003,99,Yes
38,Male,182,53,Very Active,13898,695,2817,77,Yes
60,Female,171,60,Light,6000,300,1661,62,No
38,Male,189,93,Sedentary,2898,145,2312,44,No
61,Female,161,67,Light,4241,212,1664,93,Yes
26,Female,186,67,Active,11580,579,2659,69,No
23,Male,172,54,Light,5047,252,2069,97,Yes
28,Female,181,98,Very Active,13475,674,3439,2,No
58,Female,161,74,Moderate,8725,436,2008,63,No
60,Female,154,97,Very Active,13531,677,2796,36,No
30,Male,170,93,Light,5563,278,2540,28,No
31,Female,151,52,Light,3965,198,1578,38,No
23,Male,171,62,Moderate,7961,398,2447,76,Yes
30,Male,158,53,Light,3854,193,1887,24,No
45,Female,159,97,Very Active,13247,662,2998,82,Yes
38,Female,153,58,Moderate,8020,401,1837,5,No
57,Male,179,93,Light,5058,253,2432,29,No
44,Male,187,55,Moderate,8765,438,2331,94,Yes
41,Female,184,72,Active,9302,465,2594,16,No
41,Female,179,60,Sedentary,2147,107,1623,23,No
19,Male,175,51,Light,4297,215,2081,38,No
60,Female,166,65,Very Active,13940,697,2330,23,No
49,Male,171,75,Sedentary,2579,129,1894,99,Yes
57,Male,190,83,Sedentary,2113,106,2085,24,No
57,Female,166,72,Very Active,14684,734,2492,6,No
25,Male,164,93,Moderate,8740,437,2844,99,Yes
24,Male,152,74,Sedentary,2654,133,1890,50,No
58,Female,162,72,Very Active,12285,614,2435,55,No
43,Female,181,70,Light,4261,213,2001,54,No
51,Male,159,70,Active,9582,479,2490,72,Yes
34,Female,170,81,Light,4989,249,2120,27,No
49,Female,162,77,Moderate,7556,378,2134,76,Yes
40,Male,182,63,Moderate,6206,310,2437,27,No
34,Female,187,77,Very Active,12814,641,3055,13,No
37,Male,177,70,Sedentary,1768,88,1952,10,No
26,Female,159,66,Light,3321,166,1874,51,No
30,Female,166,63,Light,4231,212,1865,76,Yes
61,Male,182,88,Moderate,6703,335,2662,30,No
28,Female,168,74,Active,9276,464,2569,16,No
31,Female,158,67,Very Active,12323,616,2549,62,No
33,Female,161,96,Sedentary,2540,127,1968,21,No
40,Male,170,53,Active,10529,526,2411,75,Yes
65,Male,186,91,Sedentary,2879,144,2103,19,No
60,Female,175,96,Active,9371,469,2747,36,No
29,Female,166,98,Moderate,7171,359,2653,94,Yes
35,Male,184,81,Moderate,6373,319,2774,95,Yes
20,Male,168,71,Very Active,13110,656,3164,17,No
21,Male,153,70,Light,5676,284,2140,37,No
32,Male,161,98,Very Active,12221,611,3479,42,No
63,Female,184,98,Very Active,13064,653,3143,54,No
54,Male,157,76,Moderate,8248,412,2288,45,No
31,Female,174,59,Very Active,13037,652,2587,89,Yes
63,Female,150,67,Light,3136,157,1556,64,No
45,Male,171,76,Active,10429,521,2775,41,No
20,Female,160,83,Active,11603,580,2707,86,Yes
37,Male,189,87,Active,9808,490,3228,3,No
57,Male,188,81,Moderate,8796,440,2643,89,Yes
21,Male,172,72,Moderate,7728,386,2627,22,No
26,Female,182,98,Sedentary,1333,67,2192,82,Yes
32,Male,150,53,Very Active,14998,750,2494,56,No
58,Female,165,98,Moderate,6979,349,2418,20,No
27,Male,185,91,Moderate,8600,430,3001,93,Yes
61,Male,154,92,Sedentary,2587,129,1899,88,Yes
26,Female,164,52,Light,5581,279,1724,97,Yes
47,Male,163,77,Moderate,8837,442,2416,86,Yes
24,Male,181,61,Very Active,13059,653,3090,32,No
34,Female,176,62,Sedentary,2893,145,1667,53,No
35,Female,175,90,Light,3084,154,2279,18,No
31,Female,180,52,Very Active,14903,745,2525,50,No
48,Male,155,94,Light,4842,242,2301,73,Yes
20,Female,187,79,Moderate,8533,427,2632,62,No
27,Male,188,62,Sedentary,1178,59,1998,63,No
62,Female,174,53,Very Active,13980,699,2178,3,No
50,Female,177,71,Light,5440,272,1932,61,No
18,Male,189,88,Light,4161,208,2717,77,Yes
53,Female,159,87,Light,3618,181,1977,55,No
65,Male,185,98,Light,3095,155,2497,30,No
65,Female,184,69,Sedentary,1456,73,1625,10,No
65,Female,181,91,Sedentary,2668,133,1866,43,No
57,Female,165,70,Sedentary,2745,137,1542,27,No
51,Male,156,55,Very Active,14342,717,2422,24,No
57,Female,162,64,Moderate,7183,359,1870,70,Yes
46,Female,188,90,Active,9871,494,2905,48,No
50,Male,155,89,Active,11890,594,2784,33,No
47,Female,184,98,Sedentary,2367,118,2081,98,Yes
57,Male,153,55,Active,10904,545,2115,36,No
48,Male,172,89,Active,10290,514,2984,9,No
37,Male,161,69,Moderate,6991,350,2350,1,No
32,Female,151,84,Sedentary,1667,83,1755,79,Yes
42,Male,160,87,Moderate,7731,387,2581,22,No
44,Female,157,68,Light,4392,220,1760,78,Yes
26,Male,173,59,Very Active,12661,633,2938,87,Yes
63,Male,189,81,Sedentary,1177,59,2018,78,Yes
64,Female,150,76,Light,5801,290,1673,100,Yes
55,Female,166,68,Moderate,8605,430,1986,63,No
20,Female,157,89,Very Active,12686,634,3059,95,Yes
34,Female,162,56,Sedentary,1558,78,1490,67,No
45,Female,187,57,Light,3638,182,1860,11,No
59,Female,175,89,Light,4204,210,2101,74,Yes
65,Female,176,75,Moderate,7800,390,2114,63,No
21,Male,188,88,Sedentary,1546,77,2346,95,Yes
45,Female,186,83,Sedentary,1504,75,1928,35,No
62,Female,185,87,Sedentary,2227,111,1866,22,No
37,Male,151,72,Very Active,14416,721,2819,43,No
43,Male,165,51,Active,10661,533,2296,69,No
45,Male,156,86,Very Active,13621,681,3068,94,Yes
19,Female,181,52,Light,3282,164,1918,67,No
50,Female,159,52,Active,9419,471,1902,91,Yes
59,Male,180,88,Very Active,12110,606,3258,59,No
41,Female,180,73,Sedentary,2983,149,1787,92,Yes
65,Female,157,95,Very Active,14749,737,2746,89,Yes
33,Female,166,52,Light,3092,155,1693,3,No
29,Male,182,75,Very Active,13041,652,3320,76,Yes
48,Male,182,79,Very Active,12673,634,3216,30,No
65,Male,151,97,Light,4070,204,2191,31,No
56,Male,188,95,Moderate,8714,436,2868,8,No
24,Female,151,95,Moderate,8284,414,2500,52,No
22,Male,157,90,Sedentary,1844,92,2132,26,No
36,Female,157,60,Light,3930,196,1705,19,No
41,Female,189,73,Sedentary,1810,90,1854,58,No
32,Male,181,67,Very Active,12361,618,3128,69,No
46,Male,154,91,Active,11567,578,2842,14,No
64,Female,162,60,Light,5259,263,1556,11,No
48,Male,162,63,Active,9013,451,2428,24,No
54,Male,154,57,Sedentary,2183,109,1521,48,No
19,Male,182,88,Active,10133,507,3325,56,No
46,Female,163,87,Very Active,12323,616,2846,94,Yes
42,Female,162,76,Light,5217,261,1927,59,No
20,Male,154,50,Sedentary,2806,140,1641,78,Yes
32,Female,176,65,Very Active,12581,629,2715,80,Yes
54,Male,181,52,Very Active,13275,664,2634,21,No
47,Female,178,87,Active,11326,566,2737,66,No
33,Female,162,51,Moderate,7069,353,1855,35,No
56,Female,165,63,Active,10050,502,2105,69,No
20,Male,189,68,Active,10355,518,3047,94,Yes
44,Female,179,80,Very Active,13577,679,2922,100,Yes
63,Female,185,53,Light,4354,218,1664,20,No
28,Female,182,63,Light,3060,153,2016,10,No
42,Female,184,97,Very Active,13146,657,3323,33,No
42,Female,162,61,Light,5006,250,1721,64,No
33,Male,165,60,Moderate,8714,436,2280,60,No
28,Male,189,79,Sedentary,2247,112,2204,71,Yes
61,Female,151,81,Very Active,12558,628,2447,99,Yes
28,Female,189,72,Sedentary,1257,63,1920,94,Yes
45,Female,183,81,Light,5988,299,2156,18,No
27,Male,188,77,Light,5004,250,2496,67,No
55,Male,189,79,Active,9720,486,2935,59,No
61,Male,185,54,Sedentary,1280,64,1676,78,Yes
61,Female,180,86,Sedentary,1645,82,1823,16,No
44,Male,153,79,Very Active,12011,601,2909,49,No
37,Male,190,90,Active,9479,474,3290,43,No
33,Male,190,64,Active,10678,534,2876,76,Yes
34,Female,174,77,Moderate,7704,385,2366,24,No
58,Male,159,69,Light,3211,161,1923,30,No
41,Female,157,68,Light,4706,235,1781,71,Yes
44,Female,157,97,Moderate,8304,415,2434,1,No
25,Female,167,54,Moderate,7079,354,2012,45,No
62,Male,182,76,Light,4498,225,2190,81,Yes
37,Male,170,85,Very Active,12170,608,3292,29,No
65,Male,177,84,Light,3019,151,2236,31,No
61,Male,177,70,Moderate,8340,417,2335,12,No
28,Female,159,52,Sedentary,1893,95,1455,78,Yes
20,Male,178,56,Very Active,12915,646,2997,45,No
34,Male,167,83,Moderate,6116,306,2649,95,Yes
36,Male,155,78,Light,3218,161,2164,52,No
52,Female,151,90,Very Active,13908,695,2703,57,No
48,Male,177,81,Moderate,7738,387,2606,58,No
30,Male,184,68,Active,11597,580,2907,12,No
36,Female,159,64,Sedentary,2714,136,1551,81,Yes
25,Male,151,82,Moderate,8442,422,2548,14,No
27,Female,164,54,Very Active,13044,652,2411,27,No
65,Female,157,80,Moderate,8985,449,2008,30,No
57,Male,185,73,Active,9480,474,2771,28,No
28,Male,180,91,Active,11912,596,3278,50,No
61,Male,162,78,Moderate,6015,301,2313,95,Yes
62,Female,190,62,Moderate,7350,368,2072,94,Yes
29,Male,175,62,Moderate,7833,392,2439,23,No
34,Male,154,65,Active,9231,462,2497,73,Yes
57,Male,161,82,Very Active,14185,709,2938,66,No
34,Female,188,98,Moderate,8115,406,2827,18,No
48,Male,163,83,Sedentary,2869,143,1936,41,No
39,Female,155,67,Moderate,6341,317,1988,88,Yes
59,Male,168,65,Very Active,13950,698,2679,3,No
60,Female,172,60,Very Active,14606,730,2307,39,No
26,Male,171,87,Sedentary,2494,125,2176,27,No
51,Female,189,62,Moderate,8275,414,2147,55,No
42,Female,158,73,Very Active,12932,647,2558,18,No
27,Female,155,85,Sedentary,1860,93,1827,34,No
23,Male,183,79,Light,4381,219,2508,58,No
43,Male,168,51,Light,3216,161,1856,93,Yes
35,Female,175,82,Very Active,12697,635,2998,75,Yes
53,Male,176,96,Sedentary,2128,106,2160,58,No
53,Female,182,60,Light,4083,204,1803,84,Yes
57,Male,171,59,Sedentary,2105,105,1654,94,Yes
54,Male,176,70,Moderate,8390,420,2379,27,No
45,Female,174,98,Active,11785,589,2901,51,No
24,Female,178,59,Very Active,14721,736,2701,37,No
32,Male,182,90,Light,5221,261,2588,14,No
33,Female,163,100,Moderate,6146,307,2624,19,No
29,Female,184,81,Active,11780,589,2853,65,No
44,Female,153,97,Light,5349,267,2125,56,No
55,Male,172,98,Light,3345,167,2454,61,No
23,Female,187,60,Light,4885,244,2053,70,Yes
60,Male,184,70,Moderate,8004,400,2410,71,Yes
48,Male,170,73,Moderate,7562,378,2414,58,No
62,Male,163,59,Sedentary,1285,64,1564,54,No
42,Male,151,67,Sedentary,1233,62,1690,26,No
29,Female,179,67,Moderate,7818,391,2298,42,No
